customer_id,product_id,is_fraud
1,108220,0
1,105636,0
2,104923,0
3,101955,0
3,108117,0
3,103267,0
3,104926,0
4,109351,0
4,104597,0
4,107396,0
5,106749,0
5,102337,0
6,105478,0
6,108443,0
6,105328,0
6,104913,1
6,102058,0
6,107261,0
7,100296,0
7,107330,0
7,106015,0
8,104695,0
8,107758,0
8,107630,0
9,108761,0
9,103461,0
9,106077,0
9,108370,0
9,107001,0
10,101230,0
10,101767,0
10,109836,0
10,106826,0
10,108728,0
11,109039,0
11,106337,0
11,107474,0
11,100096,0
11,108835,0
11,107881,0
11,100850,0
11,103127,0
11,101317,0
11,101106,0
11,104544,0
11,107451,0
11,101377,0
11,104265,0
11,103041,0
11,106195,0
11,106848,0
11,102383,0
11,105322,0
11,100905,0
11,106259,0
11,108096,0
11,101704,0
11,105664,0
11,108880,0
11,106854,0
11,107774,0
11,108340,0
11,108030,0
11,102820,0
11,107544,0
11,100965,0
11,101056,0
11,109688,0
11,103580,0
11,105999,0
11,101728,0
11,107591,0
11,106438,0
11,106978,0
11,106126,0
11,101130,0
11,100769,0
11,109065,0
11,105960,0
11,107785,0
11,106614,0
11,106230,0
11,108600,0
11,107538,0
11,107733,0
11,104503,0
12,104206,0
12,102283,0
12,101595,0
12,106901,0
12,106510,0
13,102830,0
13,102542,0
13,104768,0
13,101681,0
14,101893,0
14,101096,0
14,106705,0
14,106612,0
14,107772,0
15,109542,0
15,106740,0
15,104203,0
15,101988,0
15,104323,0
15,103239,0
15,104157,0
15,109625,0
15,108921,0
15,107218,0
15,106134,0
15,104133,0
15,108773,0
15,105489,0
15,100408,0
15,103833,0
15,107199,0
15,104379,0
15,101326,0
15,107034,0
15,101739,0
15,103667,0
15,107469,0
15,106237,0
15,109072,0
15,100370,0
15,102373,0
15,102092,0
15,103954,0
15,100169,0
15,103385,0
15,102875,0
15,105436,0
15,101098,0
15,102907,0
15,106890,0
15,103775,0
15,107045,0
15,107864,0
15,104774,0
15,106980,0
15,104384,0
15,108826,0
15,105164,0
15,109119,0
15,105751,0
15,105105,0
15,106197,0
15,109549,0
15,101611,0
15,101689,0
15,108092,0
15,106674,0
15,109694,0
15,103696,0
15,104759,0
16,102555,0
16,103070,0
16,106197,0
16,105871,0
16,106672,0
16,105423,0
16,107958,0
16,107440,0
16,105386,0
16,103476,0
16,107465,0
16,106874,0
16,104704,0
16,101654,0
16,101507,0
16,102890,0
16,100825,0
16,103609,0
16,100395,0
16,104735,0
16,100759,0
16,100904,0
16,102025,0
16,109749,0
16,102024,0
16,106862,0
16,101915,0
16,108676,0
16,104639,0
16,100614,0
16,101026,0
16,100162,0
16,106997,0
16,102579,0
16,101337,0
16,104310,0
16,106354,0
16,104164,0
16,100480,0
16,107552,0
16,100090,0
16,105502,0
16,100237,0
17,107726,0
18,102181,0
18,109645,0
18,104037,0
18,101618,0
19,103918,0
19,100046,0
19,107897,0
19,103216,0
19,105135,0
19,100304,0
19,104930,0
20,106481,0
22,100377,0
22,100047,0
22,108842,0
22,101506,0
22,109256,0
22,106693,0
22,105123,0
23,102309,0
23,103479,0
23,102317,0
23,109188,0
24,102407,0
24,102649,0
24,103944,0
24,103962,0
24,104503,0
25,105748,0
25,101676,0
25,109109,0
25,107565,0
25,104161,0
26,106871,0
26,101305,0
26,101894,0
27,105127,0
27,106168,0
27,108130,0
27,103124,0
27,107408,0
27,101190,0
27,101239,0
28,105367,0
28,104017,0
28,109385,0
28,106125,0
28,109070,0
29,109564,0
29,109421,0
29,107790,0
29,105565,0
29,109089,0
30,108309,0
31,105407,0
31,104171,0
31,102013,0
31,102618,0
31,100391,0
31,101135,0
32,101222,0
32,105092,0
32,106045,0
32,103853,0
32,101755,0
32,102731,0
32,101063,0
33,100032,0
33,104568,0
34,108568,0
34,107805,0
34,109107,0
34,103306,0
35,105420,0
35,105868,0
36,105419,0
36,105927,0
36,103803,0
36,105916,0
36,102071,0
36,100650,0
37,107442,0
37,100050,0
37,108568,0
37,103762,0
38,102987,0
38,101722,0
38,104151,0
38,103444,0
